timestamp_ms,temp_c,humidity_pct,motor_a,battery_v,speed_ms,battery_soc
2000,27.50,55.0,0.30,3.27,0.00,97.7
4000,27.52,55.1,0.31,3.27,0.00,97.7
6000,27.55,55.0,0.32,3.27,0.00,97.7
8000,27.80,54.8,0.30,3.27,0.00,97.7
10000,27.80,55.2,0.35,3.27,0.00,97.5
12000,27.82,55.0,1.25,3.26,0.00,96.9
14000,27.90,55.1,1.30,3.25,0.10,96.2
16000,28.00,54.9,1.35,3.25,0.15,96.2
18000,28.10,55.0,1.40,3.24,0.20,95.4
20000,28.20,54.8,1.38,3.24,0.22,95.4
22000,28.30,54.7,1.42,3.24,0.25,95.4
24000,28.35,55.0,1.45,3.23,0.28,94.6
26000,28.40,54.9,1.50,3.23,0.30,94.6
28000,28.50,54.8,0.68,3.24,0.15,95.4
30000,28.45,55.0,0.35,3.25,0.00,96.2
32000,28.40,55.1,0.30,3.26,0.00,96.9
34000,28.35,55.0,0.31,3.27,0.00,97.7
36000,28.30,55.2,0.30,3.27,0.00,97.7
38000,28.25,55.0,0.32,3.27,0.00,97.7
40000,28.20,54.9,0.30,3.27,0.00,97.7
